[32m[I 2022-10-19 21:24:26,992][0m A new study created in memory with name: no-name-b979582a-6232-42e5-b71b-3a2464e7b091[0m

total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -569.05, episode_reward_trend_value=0.0
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    except BrokenBarrierError as error:
NameError: name 'BrokenBarrierError' is not defined
Process Process-6:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    f()
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    train_loop(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
    all_updated_barrier.wait()  # Wait for all agents to complete rollout, then run when_all_processes_are_updated()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    except BrokenBarrierError as error:
NameError: name 'BrokenBarrierError' is not defined
Process Process-3:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    f()
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
    train_loop(
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 157, in train_loop
    all_updated_barrier.wait()  # Wait for all agents to complete rollout, then run when_all_processes_are_updated()
  File "/usr/lib/python3.8/threading.py", line 610, in wait
    self._enter() # Block while the barrier drains.
  File "/usr/lib/python3.8/threading.py", line 634, in _enter
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    except BrokenBarrierError as error:
NameError: name 'BrokenBarrierError' is not defined
[32m[I 2022-10-19 21:57:48,754][0m Trial 0 finished with value: -454.9 and parameters: {'lr_b': 5, 'lr_e': -8, 'beta_b': 1, 'beta_e': -1, 'tmax': 0, 'activ': 2, 'hid': 1}. Best is trial 0 with value: -454.9.[0m
total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -614.97, episode_reward_trend_value=0.0
total_number_of_episodes = 30, number_of_timesteps=30000, per_episode_reward = -559.16, episode_reward_trend_value=5.580688203491718
total_number_of_episodes = 40, number_of_timesteps=40000, per_episode_reward = -557.82, episode_reward_trend_value=2.85721052346222
total_number_of_episodes = 50, number_of_timesteps=50000, per_episode_reward = -563.61, episode_reward_trend_value=1.7119077713847635
total_number_of_episodes = 60, number_of_timesteps=60000, per_episode_reward = -564.33, episode_reward_trend_value=1.2659582836887693
total_number_of_episodes = 70, number_of_timesteps=70000, per_episode_reward = -569.06, episode_reward_trend_value=0.9180817744505021
total_number_of_episodes = 80, number_of_timesteps=80000, per_episode_reward = -566.76, episode_reward_trend_value=0.8033606312426192
total_number_of_episodes = 90, number_of_timesteps=90000, per_episode_reward = -570.25, episode_reward_trend_value=0.6387546238466094
total_number_of_episodes = 100, number_of_timesteps=100000, per_episode_reward = -571.96, episode_reward_trend_value=0.5375432059367184
total_number_of_episodes = 110, number_of_timesteps=110000, per_episode_reward = -568.22, episode_reward_trend_value=0.5193687747672913
total_number_of_episodes = 120, number_of_timesteps=120000, per_episode_reward = -571.68, episode_reward_trend_value=-0.1390784132331368
total_number_of_episodes = 130, number_of_timesteps=130000, per_episode_reward = -575.82, episode_reward_trend_value=-0.20001484697327468
total_number_of_episodes = 140, number_of_timesteps=140000, per_episode_reward = -573.44, episode_reward_trend_value=-0.10919939533836213
total_number_of_episodes = 150, number_of_timesteps=150000, per_episode_reward = -574.01, episode_reward_trend_value=-0.10760161617215165
total_number_of_episodes = 160, number_of_timesteps=160000, per_episode_reward = -575.18, episode_reward_trend_value=-0.06797492587569928
total_number_of_episodes = 170, number_of_timesteps=170000, per_episode_reward = -575.92, episode_reward_trend_value=-0.10174703059083816
total_number_of_episodes = 180, number_of_timesteps=180000, per_episode_reward = -575.71, episode_reward_trend_value=-0.06060154468541188
total_number_of_episodes = 190, number_of_timesteps=190000, per_episode_reward = -573.18, episode_reward_trend_value=-0.013490958661325042
total_number_of_episodes = 200, number_of_timesteps=200000, per_episode_reward = -577.19, episode_reward_trend_value=-0.09959735025762989
total_number_of_episodes = 210, number_of_timesteps=210000, per_episode_reward = -574.01, episode_reward_trend_value=-0.02597677828438489
total_number_of_episodes = 220, number_of_timesteps=220000, per_episode_reward = -572.38, episode_reward_trend_value=0.03828963420665635
total_number_of_episodes = 230, number_of_timesteps=230000, per_episode_reward = -574.75, episode_reward_trend_value=-0.014604143505573574
total_number_of_episodes = 240, number_of_timesteps=240000, per_episode_reward = -576.01, episode_reward_trend_value=-0.02221739677382983
total_number_of_episodes = 250, number_of_timesteps=250000, per_episode_reward = -573.90, episode_reward_trend_value=0.014260189841828228
total_number_of_episodes = 260, number_of_timesteps=260000, per_episode_reward = -512.86, episode_reward_trend_value=0.7006668236482925
total_number_of_episodes = 270, number_of_timesteps=270000, per_episode_reward = -511.95, episode_reward_trend_value=0.7084276137721095
total_number_of_episodes = 280, number_of_timesteps=280000, per_episode_reward = -512.91, episode_reward_trend_value=0.6695860539146199
total_number_of_episodes = 290, number_of_timesteps=290000, per_episode_reward = -515.30, episode_reward_trend_value=0.6876644339890593
total_number_of_episodes = 300, number_of_timesteps=300000, per_episode_reward = -514.32, episode_reward_trend_value=0.6632509427968519
total_number_of_episodes = 310, number_of_timesteps=310000, per_episode_reward = -514.38, episode_reward_trend_value=0.644426540750731
total_number_of_episodes = 320, number_of_timesteps=320000, per_episode_reward = -515.46, episode_reward_trend_value=0.6587372359086645
total_number_of_episodes = 330, number_of_timesteps=330000, per_episode_reward = -516.23, episode_reward_trend_value=0.6641853410200231
total_number_of_episodes = 340, number_of_timesteps=340000, per_episode_reward = -515.11, episode_reward_trend_value=0.653181830524237
total_number_of_episodes = 350, number_of_timesteps=350000, per_episode_reward = -515.98, episode_reward_trend_value=-0.03464756839927709
total_number_of_episodes = 360, number_of_timesteps=360000, per_episode_reward = -516.44, episode_reward_trend_value=-0.049904084196797135
total_number_of_episodes = 370, number_of_timesteps=370000, per_episode_reward = -516.50, episode_reward_trend_value=-0.03983644712102053
total_number_of_episodes = 380, number_of_timesteps=380000, per_episode_reward = -515.44, episode_reward_trend_value=-0.001540614836092876
total_number_of_episodes = 390, number_of_timesteps=390000, per_episode_reward = -516.50, episode_reward_trend_value=-0.024160214622649313
total_number_of_episodes = 400, number_of_timesteps=400000, per_episode_reward = -515.62, episode_reward_trend_value=-0.013808573224725429
total_number_of_episodes = 410, number_of_timesteps=410000, per_episode_reward = -516.48, episode_reward_trend_value=-0.01131402955504907
total_number_of_episodes = 420, number_of_timesteps=420000, per_episode_reward = -516.52, episode_reward_trend_value=-0.003218882577124936
total_number_of_episodes = 430, number_of_timesteps=430000, per_episode_reward = -516.51, episode_reward_trend_value=-0.015585915508716474
total_number_of_episodes = 440, number_of_timesteps=440000, per_episode_reward = -516.23, episode_reward_trend_value=-0.0027717384159220474
total_number_of_episodes = 450, number_of_timesteps=450000, per_episode_reward = -451.61, episode_reward_trend_value=0.7202965750683366
total_number_of_episodes = 460, number_of_timesteps=460000, per_episode_reward = -450.77, episode_reward_trend_value=0.7303718896999417
total_number_of_episodes = 470, number_of_timesteps=470000, per_episode_reward = -450.20, episode_reward_trend_value=0.7248097259029389
total_number_of_episodes = 480, number_of_timesteps=480000, per_episode_reward = -450.81, episode_reward_trend_value=0.7298730523624715
total_number_of_episodes = 490, number_of_timesteps=490000, per_episode_reward = -450.86, episode_reward_trend_value=0.7195868385886091
total_number_of_episodes = 500, number_of_timesteps=500000, per_episode_reward = -451.12, episode_reward_trend_value=0.7263064901385456
total_number_of_episodes = 510, number_of_timesteps=510000, per_episode_reward = -451.10, episode_reward_trend_value=0.726925250053254
total_number_of_episodes = 520, number_of_timesteps=520000, per_episode_reward = -451.07, episode_reward_trend_value=0.7271938524327904
total_number_of_episodes = 530, number_of_timesteps=530000, per_episode_reward = -451.14, episode_reward_trend_value=0.7231730478333322
total_number_of_episodes = 540, number_of_timesteps=540000, per_episode_reward = -450.69, episode_reward_trend_value=0.010210451564376576
total_number_of_episodes = 550, number_of_timesteps=550000, per_episode_reward = -450.19, episode_reward_trend_value=0.006426296494274513
total_number_of_episodes = 560, number_of_timesteps=560000, per_episode_reward = -450.36, episode_reward_trend_value=-0.001791373921573975
total_number_of_episodes = 570, number_of_timesteps=570000, per_episode_reward = -450.63, episode_reward_trend_value=0.002003284359637468
total_number_of_episodes = 580, number_of_timesteps=580000, per_episode_reward = -450.60, episode_reward_trend_value=0.0028594713869368764
total_number_of_episodes = 590, number_of_timesteps=590000, per_episode_reward = -450.71, episode_reward_trend_value=0.004522120274334106
total_number_of_episodes = 600, number_of_timesteps=600000, per_episode_reward = -451.17, episode_reward_trend_value=-0.000815063548578918
total_number_of_episodes = 610, number_of_timesteps=610000, per_episode_reward = -451.07, episode_reward_trend_value=-7.773901490963908e-05
total_number_of_episodes = 620, number_of_timesteps=620000, per_episode_reward = -451.36, episode_reward_trend_value=-0.002416986910791113
total_number_of_episodes = 630, number_of_timesteps=630000, per_episode_reward = -451.67, episode_reward_trend_value=-0.010792966600663728
total_number_of_episodes = 640, number_of_timesteps=640000, per_episode_reward = -452.23, episode_reward_trend_value=-0.022746785136716755
total_number_of_episodes = 650, number_of_timesteps=650000, per_episode_reward = -452.18, episode_reward_trend_value=-0.02020869728296159
total_number_of_episodes = 660, number_of_timesteps=660000, per_episode_reward = -451.93, episode_reward_trend_value=-0.014438786273327902
total_number_of_episodes = 670, number_of_timesteps=670000, per_episode_reward = -451.44, episode_reward_trend_value=-0.009356635630675531
total_number_of_episodes = 680, number_of_timesteps=680000, per_episode_reward = -450.68, episode_reward_trend_value=0.000352361320210548
total_number_of_episodes = 690, number_of_timesteps=690000, per_episode_reward = -449.98, episode_reward_trend_value=0.01328501433572266
total_number_of_episodes = 700, number_of_timesteps=700000, per_episode_reward = -449.18, episode_reward_trend_value=0.020977806537882136
total_number_of_episodes = 710, number_of_timesteps=710000, per_episode_reward = -448.46, episode_reward_trend_value=0.03225573195820996
total_number_of_episodes = 720, number_of_timesteps=720000, per_episode_reward = -448.51, episode_reward_trend_value=0.03507870607170831
total_number_of_episodes = 730, number_of_timesteps=730000, per_episode_reward = -448.33, episode_reward_trend_value=0.04342703855309019
total_number_of_episodes = 740, number_of_timesteps=740000, per_episode_reward = -447.82, episode_reward_trend_value=0.04844622293809191
total_number_of_episodes = 750, number_of_timesteps=750000, per_episode_reward = -447.82, episode_reward_trend_value=0.04568174687796045
total_number_of_episodes = 760, number_of_timesteps=760000, per_episode_reward = -447.81, episode_reward_trend_value=0.040422443792937204
total_number_of_episodes = 770, number_of_timesteps=770000, per_episode_reward = -448.40, episode_reward_trend_value=0.02525651515763975
total_number_of_episodes = 780, number_of_timesteps=780000, per_episode_reward = -449.19, episode_reward_trend_value=0.00871794759503233
total_number_of_episodes = 790, number_of_timesteps=790000, per_episode_reward = -449.98, episode_reward_trend_value=-0.008896167350534117
total_number_of_episodes = 800, number_of_timesteps=800000, per_episode_reward = -450.46, episode_reward_trend_value=-0.022203073715744873
total_number_of_episodes = 810, number_of_timesteps=810000, per_episode_reward = -450.93, episode_reward_trend_value=-0.026882345573496495
total_number_of_episodes = 820, number_of_timesteps=820000, per_episode_reward = -451.49, episode_reward_trend_value=-0.03514077172649448
total_number_of_episodes = 830, number_of_timesteps=830000, per_episode_reward = -452.05, episode_reward_trend_value=-0.04696768045751962
total_number_of_episodes = 840, number_of_timesteps=840000, per_episode_reward = -452.48, episode_reward_trend_value=-0.05180859493802927
total_number_of_episodes = 850, number_of_timesteps=850000, per_episode_reward = -452.91, episode_reward_trend_value=-0.0566785734192346
total_number_of_episodes = 860, number_of_timesteps=860000, per_episode_reward = -453.47, episode_reward_trend_value=-0.05624381118007464
total_number_of_episodes = 870, number_of_timesteps=870000, per_episode_reward = -454.02, episode_reward_trend_value=-0.05367215734418475
total_number_of_episodes = 880, number_of_timesteps=880000, per_episode_reward = -454.65, episode_reward_trend_value=-0.051837681357244494
total_number_of_episodes = 890, number_of_timesteps=890000, per_episode_reward = -455.28, episode_reward_trend_value=-0.05354616128124311
total_number_of_episodes = 900, number_of_timesteps=900000, per_episode_reward = -455.86, episode_reward_trend_value=-0.05482343764232951
total_number_of_episodes = 910, number_of_timesteps=910000, per_episode_reward = -456.45, episode_reward_trend_value=-0.055113058041939035
total_number_of_episodes = 920, number_of_timesteps=920000, per_episode_reward = -456.88, episode_reward_trend_value=-0.05370589165914086
total_number_of_episodes = 930, number_of_timesteps=930000, per_episode_reward = -457.32, episode_reward_trend_value=-0.05376704876439362
total_number_of_episodes = 940, number_of_timesteps=940000, per_episode_reward = -458.53, episode_reward_trend_value=-0.06252491168534612
total_number_of_episodes = 950, number_of_timesteps=950000, per_episode_reward = -459.75, episode_reward_trend_value=-0.06983080500467559
total_number_of_episodes = 960, number_of_timesteps=960000, per_episode_reward = -460.21, episode_reward_trend_value=-0.06869107790459263
total_number_of_episodes = 970, number_of_timesteps=970000, per_episode_reward = -460.66, episode_reward_trend_value=-0.06681417295556066
total_number_of_episodes = 980, number_of_timesteps=980000, per_episode_reward = -462.02, episode_reward_trend_value=-0.07497653405150433
total_number_of_episodes = 990, number_of_timesteps=990000, per_episode_reward = -463.38, episode_reward_trend_value=-0.08357009871036275
total_number_of_episodes = 1000, number_of_timesteps=1000000, per_episode_reward = -464.39, episode_reward_trend_value=-0.08827378636691807
total_number_of_episodes = 1010, number_of_timesteps=1010000, per_episode_reward = -465.40, episode_reward_trend_value=-0.09467426080588111
total_number_of_episodes = 1020, number_of_timesteps=1020000, per_episode_reward = -466.69, episode_reward_trend_value=-0.10418664742134764
total_number_of_episodes = 1030, number_of_timesteps=1030000, per_episode_reward = -467.98, episode_reward_trend_value=-0.10500232822111381
total_number_of_episodes = 1040, number_of_timesteps=1040000, per_episode_reward = -469.02, episode_reward_trend_value=-0.1029628114095279
total_number_of_episodes = 1050, number_of_timesteps=1050000, per_episode_reward = -470.05, episode_reward_trend_value=-0.1093689150173538
total_number_of_episodes = 1060, number_of_timesteps=1060000, per_episode_reward = -471.59, episode_reward_trend_value=-0.12141776934798006
total_number_of_episodes = 1070, number_of_timesteps=1070000, per_episode_reward = -473.13, episode_reward_trend_value=-0.12342735763363129
total_number_of_episodes = 1080, number_of_timesteps=1080000, per_episode_reward = -474.09, episode_reward_trend_value=-0.11899889291915429
total_number_of_episodes = 1090, number_of_timesteps=1090000, per_episode_reward = -475.06, episode_reward_trend_value=-0.11846030520697848
total_number_of_episodes = 1100, number_of_timesteps=1100000, per_episode_reward = -475.54, episode_reward_trend_value=-0.11265661157981728
total_number_of_episodes = 1110, number_of_timesteps=1110000, per_episode_reward = -476.03, episode_reward_trend_value=-0.10374100577615449
total_number_of_episodes = 1120, number_of_timesteps=1120000, per_episode_reward = -477.13, episode_reward_trend_value=-0.10166740259093292
total_number_of_episodes = 1130, number_of_timesteps=1130000, per_episode_reward = -478.24, episode_reward_trend_value=-0.10244899701706534
total_number_of_episodes = 1140, number_of_timesteps=1140000, per_episode_reward = -479.46, episode_reward_trend_value=-0.10455572995418454
total_number_of_episodes = 1150, number_of_timesteps=1150000, per_episode_reward = -480.68, episode_reward_trend_value=-0.10101971216850088
total_number_of_episodes = 1160, number_of_timesteps=1160000, per_episode_reward = -481.66, episode_reward_trend_value=-0.09475762601014202
total_number_of_episodes = 1170, number_of_timesteps=1170000, per_episode_reward = -482.64, episode_reward_trend_value=-0.0949335928519089
total_number_of_episodes = 1180, number_of_timesteps=1180000, per_episode_reward = -484.22, episode_reward_trend_value=-0.1018557366194222
total_number_of_episodes = 1190, number_of_timesteps=1190000, per_episode_reward = -485.81, episode_reward_trend_value=-0.11404298630192089
Process Process-15:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
total_number_of_episodes = 1200, number_of_timesteps=1200000, per_episode_reward = -487.03, episode_reward_trend_value=-0.12223565885581392
total_number_of_episodes = 1210, number_of_timesteps=1210000, per_episode_reward = -488.26, episode_reward_trend_value=-0.12358632879126692
total_number_of_episodes = 1220, number_of_timesteps=1220000, per_episode_reward = -489.68, episode_reward_trend_value=-0.12716227620290207
total_number_of_episodes = 1230, number_of_timesteps=1230000, per_episode_reward = -491.11, episode_reward_trend_value=-0.12941308510355423
total_number_of_episodes = 1240, number_of_timesteps=1240000, per_episode_reward = -491.67, episode_reward_trend_value=-0.12207533288677849
total_number_of_episodes = 1250, number_of_timesteps=1250000, per_episode_reward = -492.23, episode_reward_trend_value=-0.11746364904267667
total_number_of_episodes = 1260, number_of_timesteps=1260000, per_episode_reward = -493.52, episode_reward_trend_value=-0.12086618647681273
total_number_of_episodes = 1270, number_of_timesteps=1270000, per_episode_reward = -494.80, episode_reward_trend_value=-0.11752254698519979
total_number_of_episodes = 1280, number_of_timesteps=1280000, per_episode_reward = -497.45, episode_reward_trend_value=-0.1293166086920002
total_number_of_episodes = 1290, number_of_timesteps=1290000, per_episode_reward = -500.09, episode_reward_trend_value=-0.14510524752740506
total_number_of_episodes = 1300, number_of_timesteps=1300000, per_episode_reward = -502.03, episode_reward_trend_value=-0.152981992515507
total_number_of_episodes = 1310, number_of_timesteps=1310000, per_episode_reward = -503.96, episode_reward_trend_value=-0.1586334600274256
total_number_of_episodes = 1320, number_of_timesteps=1320000, per_episode_reward = -504.88, episode_reward_trend_value=-0.15301546803914334
total_number_of_episodes = 1330, number_of_timesteps=1330000, per_episode_reward = -505.80, episode_reward_trend_value=-0.15698603716828957
total_number_of_episodes = 1340, number_of_timesteps=1340000, per_episode_reward = -506.53, episode_reward_trend_value=-0.1588771735276162
total_number_of_episodes = 1350, number_of_timesteps=1350000, per_episode_reward = -507.26, episode_reward_trend_value=-0.15275408860870432
total_number_of_episodes = 1360, number_of_timesteps=1360000, per_episode_reward = -508.58, episode_reward_trend_value=-0.1531398550020261
total_number_of_episodes = 1370, number_of_timesteps=1370000, per_episode_reward = -509.90, episode_reward_trend_value=-0.13838792019693388
total_number_of_episodes = 1380, number_of_timesteps=1380000, per_episode_reward = -511.83, episode_reward_trend_value=-0.13043251014141347
total_number_of_episodes = 1390, number_of_timesteps=1390000, per_episode_reward = -513.76, episode_reward_trend_value=-0.13038899393319842
total_number_of_episodes = 1400, number_of_timesteps=1400000, per_episode_reward = -516.17, episode_reward_trend_value=-0.1356840838781453
total_number_of_episodes = 1410, number_of_timesteps=1410000, per_episode_reward = -518.58, episode_reward_trend_value=-0.15224863332328925
total_number_of_episodes = 1420, number_of_timesteps=1420000, per_episode_reward = -521.76, episode_reward_trend_value=-0.17736453966438148
total_number_of_episodes = 1430, number_of_timesteps=1430000, per_episode_reward = -524.94, episode_reward_trend_value=-0.20455987877529397
total_number_of_episodes = 1440, number_of_timesteps=1440000, per_episode_reward = -526.59, episode_reward_trend_value=-0.21469525402851244
total_number_of_episodes = 1450, number_of_timesteps=1450000, per_episode_reward = -528.23, episode_reward_trend_value=-0.21832177796950164
total_number_of_episodes = 1460, number_of_timesteps=1460000, per_episode_reward = -529.57, episode_reward_trend_value=-0.21852901360314708
total_number_of_episodes = 1470, number_of_timesteps=1470000, per_episode_reward = -530.90, episode_reward_trend_value=-0.2119397244872213
total_number_of_episodes = 1480, number_of_timesteps=1480000, per_episode_reward = -535.70, episode_reward_trend_value=-0.24375046446775112
total_number_of_episodes = 1490, number_of_timesteps=1490000, per_episode_reward = -540.49, episode_reward_trend_value=-0.2702225982951202
total_number_of_episodes = 1500, number_of_timesteps=1500000, per_episode_reward = -542.52, episode_reward_trend_value=-0.26602200239465595
total_number_of_episodes = 1510, number_of_timesteps=1510000, per_episode_reward = -544.56, episode_reward_trend_value=-0.2532700495982441
total_number_of_episodes = 1520, number_of_timesteps=1520000, per_episode_reward = -553.40, episode_reward_trend_value=-0.3161768469653162
total_number_of_episodes = 1530, number_of_timesteps=1530000, per_episode_reward = -562.24, episode_reward_trend_value=-0.396143608190083
total_number_of_episodes = 1540, number_of_timesteps=1540000, per_episode_reward = -564.98, episode_reward_trend_value=-0.4083112566962604
total_number_of_episodes = 1550, number_of_timesteps=1550000, per_episode_reward = -567.72, episode_reward_trend_value=-0.4238981935097829
total_number_of_episodes = 1560, number_of_timesteps=1560000, per_episode_reward = -576.00, episode_reward_trend_value=-0.5010385017740999
total_number_of_episodes = 1570, number_of_timesteps=1570000, per_episode_reward = -584.28, episode_reward_trend_value=-0.5397787809419607
total_number_of_episodes = 1580, number_of_timesteps=1580000, per_episode_reward = -597.85, episode_reward_trend_value=-0.6373018405096105
total_number_of_episodes = 1590, number_of_timesteps=1590000, per_episode_reward = -611.42, episode_reward_trend_value=-0.7654976298050972
Hit early stopping because -611.4179557692466 < -600
Process Process-11:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-20:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-13:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
[32m[I 2022-10-19 22:08:58,586][0m Trial 1 finished with value: -618.98 and parameters: {'lr_b': 3, 'lr_e': -5, 'beta_b': 5, 'beta_e': -7, 'tmax': 1, 'activ': 2, 'hid': 2}. Best is trial 0 with value: -454.9.[0m
Process Process-30:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-24:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
    raise BrokenBarrierError
threading.BrokenBarrierError

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/lib/python3.8/multiprocessing/process.py", line 315, in _bootstrap
    self.run()
  File "/usr/lib/python3.8/multiprocessing/process.py", line 108, in run
    self._target(*self._args, **self._kwargs)
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 582, in run_func
    try:
NameError: name 'BrokenBarrierError' is not defined
Process Process-28:
Traceback (most recent call last):
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 581, in run_func
    else:
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 550, in f
  File "/home/jeffhykin/repos/bizav2/pfrl/experiments/train_agent_async.py", line 167, in train_loop
    agent.add_update()
  File "/usr/lib/python3.8/threading.py", line 619, in wait
    self._wait(timeout)
  File "/usr/lib/python3.8/threading.py", line 659, in _wait
